Book_title,Author,ISBN,copies 
A Game of Thrones,George R.R. Martin,9.7801E+12,3
The Histories,Herodotus,9.78014E+12,5
One Hundred Years of Solitude,Gabriel Garcia Marquez,9.78014E+12,6
Jane Eyre,Charlotte Bronte,9.78014E+12,7
The Guns of August,Barbara W. Tuchman,9.78019E+12,7
The Alchemist,Paulo Coelho,9.78031E+12,5
Sapiens: A Brief History of Humankind,Yuval Noah Harari,9.87128E+12,2
Animal Farm,George Orwell,9.78033E+12,4
The Diary of a Young Girl,Anne Frank,9.78038E+12,3
A People's History of the United States,Howard Zinn,9.78039E+12,4
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,9.78039E+12,5
The Great Gatsby,F. Scott Fitzgerald,9.78053E+12,7
The Catcher in the Rye,J.D. Salinger,9.78055E+12,2
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9.78068E+12,4
The Da Vinci Code,Dan Brown,9.78074E+12,6
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,9.78074E+12,5
